0.058,3816
0.572,1190
0.035,4452
0.115,739
0.762,1527
0.887,186
-0.66,4347
-0.62,3666
0.615,2854
0.048,3767
0.769,397
0.062,3662
0.652,164
0.176,133
-0.73,6560
0.125,2466
0.57,915
0.879,1561
0.477,2253
0.051,1831
0.553,4411
0.761,458
0.078,807
-0.11,5040
0.678,875
0.129,1875
0.329,124
0.296,1305
0.523,1493
0.072,1922
-0.10,5229
0.79,3210
0.733,1459
0.029,3770
0.84,571
0.085,1358
0.479,281
0.028,1512
0.041,3602
0.583,1586
0.578,1257
0.847,195
-0.16,358
0.034,4090
-0.14,1162
0.535,579
0.093,2147
0.581,477
0.057,2503
0.614,575
0.09,1212
0.595,4181
-0.89,1133
0.065,1985
0.053,2538
0.488,454
-0.43,1396
0.539,547
0.552,494
0.861,1026
0.557,909
0.313,1661
0.037,2590
0.099,2407
0.525,1339
0.717,236
0.148,2291
0.377,453
0.642,1234
0.67,301
0.778,781
0.105,2171
-0.49,2582
0.068,2105
0.509,2660
0.111,2299
0.505,1052
0.58,2221
0.08,972
0.563,934
0.073,1028
0.541,5432
0.483,580
0.461,151
0.628,1565
0.582,2286
0.569,1807
0.576,1510
0.725,827
0.654,593
0.794,175
0.135,726
-0.84,2054
0.899,525
-0.74,5540
0.06,866
0.594,869
0.609,760
0.788,473
0.591,533
0.519,2566
0.095,845
0.056,3656
0.56,1753
0.685,789
0.357,1281
0.604,1406
-0.7,1274
0.179,107
0.638,273
0.551,520
0.117,951
0.279,500
0.636,1673
-0.71,3784
0.046,1818
0.499,825
0.587,2471
-0.39,137
0.032,5660
0.556,1165
-0.08,3772
0.621,1379
0.674,213
0.332,1033
0.328,698
0.921,409
0.598,3063
-0.35,91
0.545,361
0.03,2045
0.801,1301
0.723,351
0.662,543
0.116,1685
0.522,953
0.527,773
-0.33,1115
0.547,2931
0.836,125
0.121,577
0.833,715
0.62,2085
-0.50,3089
0.196,818
0.823,747
0.625,1114
0.513,1804
0.127,307
-0.85,3954
0.624,1762
0.648,578
0.538,1236
0.102,2537
0.087,1473
0.745,1196
0.038,2729
0.075,1336
-0.37,337
0.154,493
0.063,2450
0.91,169
-0.40,205
0.803,2446
0.873,87
0.586,1332
0.635,355
0.743,1035
0.61,519
0.839,79
0.688,1280
0.709,356
-0.28,1143
